,ID,t,phi,f,P,mw,w10m,v,r,rf
451,1928,3,120.25,1.68E-05,977.5,67.5,11.16,19.94302748,160.183397,87.99
452,1928,6,119.7,1.69E-05,980,65,13.38,19.93892564,192.7033878,126.24
482,1522,-6,122.7,1.91E-05,1002,35,1.81,23.56895014,196.0219469,4.38
483,1522,-3,122,1.94E-05,1000,37.5,1.47,27.37962951,147.657015,4.38
484,1522,0,121.3,1.98E-05,998,40,1.37,27.34613544,136.9991531,7.47
485,1522,3,120.7,2.02E-05,998,40,1.14,24.09805163,168.7180354,19.86
517,1524,-3,121.85,2.01E-05,932.5,95,6.45,9.104871529,185.3703832,40.77
518,1524,0,121.6,2.00E-05,940,90,7.92,9.107059142,168.4159258,12.84
519,1524,3,121.5,2.01E-05,945,85,10.15,4.017136523,169.7407186,4.29
520,1524,6,121.4,2.02E-05,950,80,11.28,4.016341939,171.9056983,5.55
521,1524,9,121.35,2.03E-05,955,75,13.2,4.105876364,181.4065102,17.13
522,1524,12,121.3,2.04E-05,960,70,12.86,4.105493778,191.2313183,27.21
567,1621,-6,122.4,1.94E-05,942.5,90,5.17,25.0624051,178.7511443,24.75
568,1621,-3,121.8,1.98E-05,935,95,6.03,25.03111906,159.0073049,43.26
569,1621,0,120.8,2.00E-05,950,85,7.5,36.42823657,156.120602,46.89
634,2001,-9,122.3,1.72E-05,986,57.5,2.83,19.38135159,177.5755296,4.23
635,2001,-6,121.9,1.76E-05,992,50,2.87,19.3653162,119.678222,5.88
638,2001,3,120.95,1.95E-05,997,40,5.82,27.10479647,105.0151681,52.23
639,2001,6,120.6,2.03E-05,1000,35,6.91,27.08664533,181.7463583,157.68
669,1002,-6,122.3,1.82E-05,975,65,0.85,21.63394249,142.4941158,60.6
673,1002,6,119.6,1.85E-05,985,55,1.81,24.47463588,149.2086308,41.91
703,2022,-6,122.8,1.86E-05,965,75,5.77,14.57375127,196.8459224,5.7
704,2022,-3,122.05,1.88E-05,967.5,72.5,7.45,27.45439745,121.0849735,21.96
707,2022,6,119.6,1.91E-05,985,55,11.91,30.49326662,162.5382448,87.84
789,2018,-3,121.8,1.65E-05,975,70,3.58,25.56755566,189.0036103,19.92
790,2018,0,121.1,1.65E-05,975,70,5.06,25.36096204,161.8706424,27.3
791,2018,3,120.4,1.66E-05,975,70,6.73,25.35580956,168.1089496,62.85
857,2015,-3,121.9,1.64E-05,1007,0,2.14,25.90484812,199.1219007,17.43
858,2015,0,121.2,1.62E-05,1006,0,2.91,25.91975747,190.5774233,19.56
908,1912,-3,121.9,2.00E-05,1002,0,3.28,42.49406926,183.4092569,0.57
909,1912,0,120.75,2.01E-05,1001,0,2.96,41.05082068,162.3589745,2.7
925,1108,-3,122.7,1.87E-05,990,45,5.14,11.70264839,187.6876383,23.13
926,1108,0,122.5,1.91E-05,990,45,5.82,14.79471197,178.0691588,27.87
927,1108,3,122.3,1.96E-05,990,45,5.36,14.78899988,179.3753656,29.91
928,1108,6,121.95,2.01E-05,990,45,4.82,20.80560353,190.9528355,28.83
938,1422,-15,122.3,1.68E-05,982.5,57.5,5.54,12.16952342,199.3539055,18.48
939,1422,-12,122,1.70E-05,985,55,6.01,12.16351176,164.7755192,22.68
940,1422,-9,121.6,1.71E-05,987.5,50,6.77,14.89307364,129.944387,25.59
941,1422,-6,121.2,1.72E-05,990,45,7.96,14.88715437,103.0644993,46.53
942,1422,-3,121.1,1.72E-05,990,42.5,8.51,3.605078444,101.142187,74.43
943,1422,0,121,1.72E-05,990,40,8.07,3.605078444,100.3550278,64.53
944,1422,3,120.8,1.72E-05,992,37.5,7.74,7.210156888,102.253248,58.14
945,1422,6,120.6,1.72E-05,994,35,7.99,7.210156888,108.5176315,51.42
946,1422,9,120.15,1.72E-05,994,35,8.79,16.3313568,138.9813558,41.34
947,1422,12,119.7,1.71E-05,994,35,8.07,16.33476704,177.943262,27.03
