,ID,t,phi,f,P,mw,w10m,v,r,rf
291,1625,-18,122.5,1.44e-05,1000.0,0.0,2.47,14.72416473,392.2265383,6.48
292,1625,-15,121.9,1.44e-05,1000.0,0.0,3.47,21.89903653,364.0361967,8.28
301,1625,12,117.7,1.73e-05,994.0,45.0,4.76,21.16070095,365.8761282,11.46
302,1625,15,117.55,1.77e-05,994.0,45.0,4.98,10.70830638,375.7082613,11.19
303,1625,18,117.4,1.8e-05,994.0,45.0,4.29,10.70536455,387.8848065,8.46
304,1625,21,117.35,1.83e-05,994.0,45.0,3.07,9.420243963,391.4133598,10.56
305,1625,24,117.3,1.86e-05,994.0,45.0,2.92,9.419918613,396.8967109,9.54
306,1416,-24,123.7,2.13e-05,990.0,45.0,2.02,0.0,392.9397038,15.15
307,1416,-21,123.15,2.17e-05,990.0,45.0,2.83,24.45860007,386.3919355,29.4
308,1416,-18,122.6,2.22e-05,990.0,45.0,3.67,24.42443292,393.9491031,48.42
313,1416,-3,119.95,2.24e-05,985.0,45.0,7.69,10.42471234,387.078174,35.43
314,1416,0,120.2,2.22e-05,985.0,45.0,8.46,10.43100846,364.23452,24.9
327,1119,-12,123.4,2.11e-05,937.5,92.5,2.84,24.92809465,358.4292168,0.36
335,1119,12,118.2,2.06e-05,967.5,67.5,4.93,21.43253344,360.8179359,3.21
345,1723,-9,122.75,1.49e-05,1007.0,0.0,3.44,16.75832193,365.9606124,18.27
352,1723,12,118.6,1.54e-05,1002.0,0.0,4.17,16.73469136,371.9580108,20.13
353,1723,15,118.15,1.56e-05,1001.0,17.5,3.53,17.22927488,396.7625442,13.08
368,2021,9,118.2,1.6e-05,1002.0,0.0,5.16,32.57880261,368.6909346,11.22
377,2019,-15,124.3,1.72e-05,925.0,110.0,3.11,25.8435226,374.1974372,40.74
388,2019,18,117.6,1.89e-05,1000.0,35.0,3.68,15.36682054,367.6453466,0.33
419,1223,9,117.6,1.81e-05,998.0,40.0,7.58,36.69421917,365.3795259,102.06
437,1626,12,117.7,1.83e-05,972.5,67.5,6.23,26.20189421,353.574948,7.83
445,1928,-15,124.1,1.64e-05,950.0,90.0,3.54,22.38730685,379.5529042,3.99
456,1928,18,117.6,1.76e-05,992.0,50.0,5.26,18.83777526,371.4225514,15.81
464,1720,-9,121.1,2.24e-05,993.0,35.0,2.2,30.35018476,365.9858404,4.56
470,1720,9,118.5,2.09e-05,982.5,47.5,4.97,7.108287493,352.3387728,10.38
471,1720,12,118.3,2.09e-05,980.0,50.0,3.86,7.108287493,368.6260424,14.97
472,1720,15,118.2,2.13e-05,980.0,50.0,3.85,11.65133294,398.0146587,21.18
479,1522,-15,124.5,1.78e-05,1007.0,0.0,1.83,27.51760504,382.2750395,6.51
489,1522,15,118.35,2.09e-05,993.0,47.5,4.44,20.90104173,364.5054958,10.32
498,1506,-9,124.6,1.93e-05,945.0,90.0,2.42,14.16692311,398.1883372,0.06
499,1506,-6,124.25,1.97e-05,940.0,95.0,1.93,17.99625161,372.4870746,0.09
500,1506,-3,123.9,2.02e-05,935.0,100.0,1.06,17.98124041,353.4709617,0.42
501,1506,0,123.6,2.07e-05,927.5,105.0,3.9,19.77298325,353.0719791,1.05
502,1506,3,123.3,2.13e-05,920.0,110.0,3.15,19.75958207,362.7323336,1.59
503,1506,6,122.95,2.17e-05,920.0,110.0,2.65,19.30144499,374.119788,3.51
504,1506,9,122.6,2.22e-05,920.0,110.0,2.62,19.28400764,393.9491031,1.98
510,1524,-24,124.5,1.98e-05,940.0,90.0,1.74,0.0,399.4890051,5.88
511,1524,-21,124.15,1.98e-05,935.0,92.5,2.45,12.49658866,364.3409654,4.5
530,1714,-15,124.4,1.89e-05,998.0,37.5,1.88,18.01207305,370.733124,1.38
550,1622,-6,123.1,2.16e-05,915.0,100.0,5.3,30.43760731,374.39514,0.39
551,1622,-3,122.3,2.19e-05,927.5,95.0,5.15,29.26206887,350.5090535,1.38
553,1622,3,120.8,2.25e-05,942.5,85.0,5.79,27.8846419,382.9081663,2.94
562,1621,-21,124.6,1.8e-05,970.0,65.0,3.2,15.41582713,391.710563,2.31
563,1621,-18,124.25,1.82e-05,962.5,72.5,3.81,14.58853925,352.3726751,4.29
572,1621,9,118.4,2.08e-05,965.0,70.0,6.48,25.9682213,353.4683492,6.39
601,1308,-6,124.4,1.96e-05,1004.0,0.0,1.71,18.27274529,382.7520465,1.71
602,1308,-3,124.1,2e-05,1004.0,0.0,2.11,18.2604848,367.8320951,9.78
603,1308,0,123.8,2.05e-05,1004.0,0.0,2.33,18.24793872,360.9237492,20.64
604,1308,3,123.5,2.1e-05,1004.0,0.0,3.16,18.23510892,362.4589059,19.2
605,1308,6,123.2,2.15e-05,1004.0,0.0,2.93,18.22199731,372.3058484,8.4
631,2001,-18,123.6,1.6e-05,980.0,65.0,2.39,16.25975985,354.2083693,10.41
642,2001,15,119.8,2.21e-05,1000.0,35.0,2.91,16.39966327,365.7342029,14.49
677,1002,18,117.7,2e-05,992.0,45.0,4.2,16.79676302,383.8596655,6.66
699,2022,-18,124.6,1.83e-05,975.0,65.0,1.73,19.83597517,389.7273933,8.1
711,2022,18,117.3,1.89e-05,980.0,60.0,6.42,21.57460775,399.5541546,35.79
721,1604,-3,123.8,2.11e-05,990.0,45.0,4.35,14.10589972,393.6903201,2.82
722,1604,0,123.45,2.15e-05,987.5,47.5,3.63,16.64582661,389.6900555,2.97
723,1604,3,123.1,2.19e-05,985.0,50.0,4.02,16.6307925,392.2194133,1.26
737,1415,-6,123.95,2.09e-05,970.0,65.0,3.07,22.47833023,392.7215542,25.32
738,1415,-3,123.4,2.13e-05,970.0,65.0,5.12,22.45145247,370.0560495,19.71
739,1415,0,122.55,2.17e-05,970.0,65.0,6.31,33.53809139,352.1470145,25.17
740,1415,3,121.7,2.22e-05,970.0,65.0,7.75,33.4784437,362.7417557,26.7
741,1415,6,120.65,2.23e-05,972.5,62.5,7.76,37.13238602,361.939099,24.45
742,1415,9,119.6,2.24e-05,975.0,60.0,7.07,37.12196294,393.9899749,23.22
786,2018,-12,123.95,1.68e-05,980.0,65.0,2.06,27.14093224,350.2816263,3.51
824,1905,0,123.4,2.16e-05,994.0,35.0,2.73,9.048033735,394.3883951,8.7
839,1208,-6,124.3,2.03e-05,1004.0,0.0,3.43,13.00040407,396.4263551,2.88
840,1208,-3,123.85,2.08e-05,1003.0,0.0,3.23,23.08761217,380.9123537,4.59
841,1208,0,123.4,2.14e-05,1002.0,0.0,3.33,23.06142615,378.0154443,4.68
851,2015,-21,124.55,1.73e-05,1005.0,0.0,1.59,9.008847794,395.8904045,32.85
852,2015,-18,124.3,1.73e-05,1006.0,0.0,1.6,9.008847794,369.6096667,20.67
853,2015,-15,124.1,1.73e-05,1006.0,0.0,1.79,7.44208942,350.1977455,13.17
862,2015,12,118.0,1.6e-05,1006.0,0.0,2.2,19.99498094,386.6898323,50.34
869,1101,-18,124.45,1.73e-05,996.0,35.0,1.84,12.91147854,386.7659887,1.38
870,1101,-15,124.2,1.76e-05,996.0,35.0,1.77,12.90475168,353.9714663,4.98
881,1101,18,122.3,2.2e-05,996.0,35.0,6.5,14.79739048,360.6829337,9.15
898,1013,18,118.25,2.08e-05,950.0,80.0,5.2,12.44599778,366.0765597,14.73
899,1013,21,117.9,2.08e-05,950.0,80.0,5.29,12.44599778,396.4493172,18.27
906,1912,-9,124.2,1.93e-05,1000.0,0.0,2.09,45.10663136,356.4555876,8.88
932,1108,18,119.35,2.2e-05,990.0,45.0,5.62,28.08618076,379.7882353,13.23
